datetime,count
2011-01-20 00:00:00,11.45
2011-01-20 01:00:00,4.68
2011-01-20 02:00:00,3.4033333333333333
2011-01-20 03:00:00,3.55
2011-01-20 04:00:00,3.06
2011-01-20 05:00:00,6.4
2011-01-20 06:00:00,39.33
2011-01-20 07:00:00,108.69
2011-01-20 08:00:00,245.08
2011-01-20 09:00:00,135.62
2011-01-20 10:00:00,63.62
2011-01-20 11:00:00,64.25
2011-01-20 12:00:00,89.57
2011-01-20 13:00:00,76.64
2011-01-20 14:00:00,83.58
2011-01-20 15:00:00,88.72
2011-01-20 16:00:00,95.74
2011-01-20 17:00:00,200.51
2011-01-20 18:00:00,178.64
2011-01-20 19:00:00,102.54
2011-01-20 20:00:00,72.09
2011-01-20 21:00:00,49.84
2011-01-20 22:00:00,45.4
2011-01-20 23:00:00,26.53
2011-01-21 00:00:00,15.04
2011-01-21 01:00:00,7.41
2011-01-21 02:00:00,4.3725
2011-01-21 03:00:00,2.29
2011-01-21 04:00:00,2.03
2011-01-21 05:00:00,3.52
2011-01-21 06:00:00,35.32
2011-01-21 07:00:00,101.06
2011-01-21 08:00:00,204.6
2011-01-21 09:00:00,131.35
2011-01-21 10:00:00,50.72
2011-01-21 11:00:00,64.5
2011-01-21 12:00:00,74.23
2011-01-21 13:00:00,70.16
2011-01-21 14:00:00,67.09
2011-01-21 15:00:00,66.02
2011-01-21 16:00:00,81.14
2011-01-21 17:00:00,154.58
2011-01-21 18:00:00,152.23
2011-01-21 19:00:00,104.21
2011-01-21 20:00:00,68.67
2011-01-21 21:00:00,48.58
2011-01-21 22:00:00,32.43
2011-01-21 23:00:00,21.16
2011-01-22 00:00:00,26.65
2011-01-22 01:00:00,18.22
2011-01-22 02:00:00,14.23
2011-01-22 03:00:00,7.91
2011-01-22 04:00:00,2.71
2011-01-22 06:00:00,4.56
2011-01-22 07:00:00,16.95
2011-01-22 08:00:00,26.89
2011-01-22 09:00:00,36.50333333333333
2011-01-22 10:00:00,56.74
2011-01-22 11:00:00,57.2
2011-01-22 12:00:00,74.04
2011-01-22 13:00:00,78.065
2011-01-22 14:00:00,75.75
2011-01-22 15:00:00,75.02
2011-01-22 16:00:00,74.12
2011-01-22 17:00:00,77.975
2011-01-22 18:00:00,61.1
2011-01-22 19:00:00,39.23
2011-01-22 20:00:00,42.47
2011-01-22 21:00:00,41.02
2011-01-22 22:00:00,29.3
2011-01-22 23:00:00,21.24
2011-01-23 00:00:00,27.64
2011-01-23 01:00:00,19.08
2011-01-23 02:00:00,14.61
2011-01-23 03:00:00,12.960952380952381
2011-01-23 05:00:00,3.12
2011-01-23 06:00:00,2.74
2011-01-23 07:00:00,8.29
2011-01-23 08:00:00,17.39
2011-01-23 09:00:00,29.18333333333333
2011-01-23 10:00:00,52.89
2011-01-23 11:00:00,57.61
2011-01-23 12:00:00,68.77
2011-01-23 13:00:00,69.43
2011-01-23 14:00:00,71.15
2011-01-23 15:00:00,70.57
2011-01-23 16:00:00,73.67
2011-01-23 17:00:00,72.84
2011-01-23 18:00:00,70.16
2011-01-23 19:00:00,43.02
2011-01-23 20:00:00,33.67
2011-01-23 21:00:00,32.63
2011-01-23 22:00:00,19.51
2011-01-23 23:00:00,14.07
2011-01-24 00:00:00,11.24
2011-01-24 01:00:00,4.6
2011-01-24 03:00:00,1.82
2011-01-24 04:00:00,2.24
2011-01-24 05:00:00,5.47
2011-01-24 06:00:00,30.67
2011-01-24 07:00:00,80.69
2011-01-24 08:00:00,179.39
2011-01-24 09:00:00,108.51
2011-01-24 10:00:00,43.21
2011-01-24 11:00:00,40.93
2011-01-24 12:00:00,54.18
2011-01-24 13:00:00,47.2
2011-01-24 14:00:00,43.99
2011-01-24 15:00:00,56.45
2011-01-24 16:00:00,67.67
2011-01-24 17:00:00,153.72
2011-01-24 18:00:00,151.74
2011-01-24 19:00:00,97.07
2011-01-24 20:00:00,65.08
2011-01-24 21:00:00,48.72
2011-01-24 22:00:00,25.12
2011-01-24 23:00:00,17.81
2011-01-25 00:00:00,9.24
2011-01-25 01:00:00,3.18
2011-01-25 02:00:00,2.210666666666667
2011-01-25 04:00:00,1.59
2011-01-25 05:00:00,5.2
2011-01-25 06:00:00,33.82
2011-01-25 07:00:00,81.13
2011-01-25 08:00:00,207.99
2011-01-25 09:00:00,121.39
2011-01-25 10:00:00,55.81
2011-01-25 11:00:00,59.02
2011-01-25 12:00:00,71.21
2011-01-25 13:00:00,73.01
2011-01-25 14:00:00,84.79
2011-01-25 15:00:00,85.84
2011-01-25 16:00:00,96.39
2011-01-25 17:00:00,213.6
2011-01-25 18:00:00,198.52
2011-01-25 19:00:00,110.88
2011-01-25 20:00:00,71.65
2011-01-25 21:00:00,52.84
2011-01-25 22:00:00,36.09
2011-01-25 23:00:00,20.47
2011-01-26 00:00:00,9.27
2011-01-26 01:00:00,5.32
2011-01-26 02:00:00,2.939833333333333
2011-01-26 05:00:00,3.01
2011-01-26 06:00:00,25.14
2011-01-26 07:00:00,67.02
2011-01-26 08:00:00,139.21
2011-01-26 09:00:00,90.81
2011-01-26 10:00:00,55.66
2011-01-26 11:00:00,48.8
2011-01-26 12:00:00,46.69
2011-01-26 13:00:00,48.86
2011-01-26 14:00:00,46.96
2011-01-26 15:00:00,46.27
2011-01-26 16:00:00,63.9
2011-01-26 17:00:00,118.46
2011-01-27 16:00:00,77.0
2011-01-27 17:00:00,166.23
2011-01-27 18:00:00,137.6
2011-01-27 19:00:00,98.93
2011-01-27 20:00:00,83.99
2011-01-27 21:00:00,53.71
2011-01-27 22:00:00,41.94
2011-01-27 23:00:00,30.21
2011-01-28 00:00:00,14.06
2011-01-28 01:00:00,6.43
2011-01-28 02:00:00,2.5966666666666667
2011-01-28 03:00:00,1.83
2011-01-28 05:00:00,6.32
2011-01-28 06:00:00,31.3
2011-01-28 07:00:00,86.09
2011-01-28 08:00:00,217.73
2011-01-28 09:00:00,79.22
2011-01-28 10:00:00,39.24
2011-01-28 11:00:00,41.27
2011-01-28 12:00:00,45.79
2011-01-28 13:00:00,48.79
2011-01-28 14:00:00,57.17
2011-01-28 15:00:00,56.34
2011-01-28 16:00:00,70.46
2011-01-28 17:00:00,163.34
2011-01-28 18:00:00,152.75
2011-01-28 19:00:00,102.11
2011-01-28 20:00:00,71.08
2011-01-28 21:00:00,50.35
2011-01-28 22:00:00,43.33
2011-01-28 23:00:00,28.8
2011-01-29 00:00:00,33.73
2011-01-29 01:00:00,24.11
2011-01-29 02:00:00,16.46
2011-01-29 03:00:00,12.24095238095238
2011-01-29 04:00:00,3.05
2011-01-29 06:00:00,3.13
2011-01-29 07:00:00,9.96
2011-01-29 08:00:00,24.25666666666667
2011-01-29 09:00:00,40.60023809523809
2011-01-29 10:00:00,60.27
2011-01-29 11:00:00,60.39
2011-01-29 12:00:00,80.15
2011-01-29 13:00:00,80.77
2011-01-29 14:00:00,77.26
2011-01-29 15:00:00,76.72
2011-01-29 16:00:00,84.51
2011-01-29 17:00:00,71.51
2011-01-29 18:00:00,67.99
2011-01-29 19:00:00,64.26
2011-01-29 20:00:00,46.26
2011-01-29 21:00:00,39.31
2011-01-29 22:00:00,37.22
2011-01-29 23:00:00,29.87
2011-01-30 00:00:00,26.91
2011-01-30 01:00:00,26.24
2011-01-30 02:00:00,20.22
2011-01-30 03:00:00,10.96
2011-01-30 04:00:00,4.2
2011-01-30 05:00:00,2.98
2011-01-30 07:00:00,8.55
2011-01-30 08:00:00,16.44
2011-01-30 09:00:00,31.935
2011-01-30 10:00:00,59.77
2011-01-30 11:00:00,68.68
2011-01-30 12:00:00,122.9
2011-01-30 13:00:00,87.8
2011-01-30 14:00:00,90.61
2011-01-30 15:00:00,125.0
2011-01-30 16:00:00,125.02
2011-01-30 17:00:00,78.13
2011-01-30 18:00:00,68.11
2011-01-30 19:00:00,42.97
2011-01-30 20:00:00,35.42
2011-01-30 21:00:00,32.75
2011-01-30 22:00:00,20.33
2011-01-30 23:00:00,14.41
2011-01-31 00:00:00,11.13
2011-01-31 01:00:00,3.5
2011-01-31 02:00:00,2.495
2011-01-31 03:00:00,2.12
2011-01-31 04:00:00,1.62
2011-01-31 05:00:00,2.31
2011-01-31 06:00:00,33.2
2011-01-31 07:00:00,84.28
2011-01-31 08:00:00,178.06
2011-01-31 09:00:00,94.69
2011-01-31 10:00:00,41.66
2011-01-31 11:00:00,41.25
2011-01-31 12:00:00,58.67
2011-01-31 13:00:00,53.48
2011-01-31 14:00:00,51.05
2011-01-31 15:00:00,46.99
2011-01-31 16:00:00,69.6
2011-01-31 17:00:00,156.73
2011-01-31 18:00:00,152.54
2011-01-31 19:00:00,128.18
2011-01-31 20:00:00,56.3
2011-01-31 21:00:00,34.45
2011-01-31 22:00:00,32.32
2011-01-31 23:00:00,16.92
2011-02-20 00:00:00,34.03
2011-02-20 01:00:00,23.15
2011-02-20 02:00:00,18.24
2011-02-20 03:00:00,9.68
2011-02-20 04:00:00,2.63
2011-02-20 06:00:00,2.52
2011-02-20 07:00:00,10.34
2011-02-20 08:00:00,18.48
2011-02-20 09:00:00,33.343333333333334
2011-02-20 10:00:00,94.95
2011-02-20 11:00:00,114.64
2011-02-20 12:00:00,124.85
2011-02-20 13:00:00,141.5
2011-02-20 14:00:00,144.07
2011-02-20 15:00:00,158.13
2011-02-20 16:00:00,150.74
2011-02-20 17:00:00,110.41
2011-02-20 18:00:00,77.65
2011-02-20 19:00:00,68.54
2011-02-20 20:00:00,68.98
2011-02-20 21:00:00,60.62
2011-02-20 22:00:00,41.62
2011-02-20 23:00:00,36.87
2011-02-21 00:00:00,24.28
2011-02-21 01:00:00,19.21
2011-02-21 02:00:00,10.46
2011-02-21 03:00:00,3.97
2011-02-21 04:00:00,4.09
2011-02-21 05:00:00,7.02
2011-02-21 06:00:00,20.84
2011-02-21 07:00:00,69.47
2011-02-21 08:00:00,82.64
2011-02-21 09:00:00,85.39
2011-02-21 10:00:00,84.56
2011-02-21 11:00:00,83.48
2011-02-21 12:00:00,86.22
2011-02-21 13:00:00,65.4
2011-02-21 14:00:00,84.74
2011-02-21 15:00:00,90.8
2011-02-21 16:00:00,72.57
2011-02-21 17:00:00,81.14
2011-02-21 18:00:00,80.43
2011-02-21 19:00:00,75.19
2011-02-21 20:00:00,38.68
2011-02-21 21:00:00,29.77
2011-02-21 22:00:00,25.64
2011-02-21 23:00:00,13.78
2011-02-22 06:00:00,31.0
2011-02-22 07:00:00,87.52
2011-02-22 08:00:00,196.54
2011-02-22 09:00:00,103.16
2011-02-22 10:00:00,45.06
2011-02-22 11:00:00,50.04
2011-02-22 12:00:00,58.56
2011-02-22 13:00:00,71.36
2011-02-22 14:00:00,70.7
2011-02-22 15:00:00,76.86
